name,id,episodes,status,aired,studio,source,rating,score,finished airing,year,season
Cowboy Bebop,1,26,Finished Airing,"Apr 3, 1998",Sunrise,Original,R - 17+ (violence & profanity),8.79,"Apr 24, 1999",1998,Spring
Cowboy Bebop: Tengoku no Tobira (Cowboy Bebop: The Movie),5,1,Finished Airing,"Sep 1, 2001",Bones,Original,R - 17+ (violence & profanity),8.39,,2001,Summer
Trigun,6,26,Finished Airing,"Apr 1, 1998",Madhouse,Manga,PG-13 - Teens 13 or older,8.24,"Sep 30, 1998",1998,Spring
Witch Hunter Robin,7,26,Finished Airing,"Jul 2, 2002",Sunrise,Original,PG-13 - Teens 13 or older,7.28,"Dec 24, 2002",2002,Summer
Bouken Ou Beet (Beet the Vandel Buster),8,52,Finished Airing,"Sep 30, 2004",Toei Animation,Manga,PG - Children,6.98,"Sep 29, 2005",2004,Summer
Eyeshield 21,15,145,Finished Airing,"Apr 6, 2005",Gallop,Manga,PG-13 - Teens 13 or older,7.96,"Mar 19, 2008",2005,Spring
Hachimitsu to Clover (Honey and Clover),16,24,Finished Airing,"Apr 15, 2005",J.C.Staff,Manga,PG-13 - Teens 13 or older,8.07,"Sep 27, 2005",2005,Spring
Hungry Heart: Wild Striker,17,52,Finished Airing,"Sep 11, 2002",Nippon Animation,Manga,PG-13 - Teens 13 or older,7.6,"Sep 10, 2003",2002,Summer
Initial D Fourth Stage,18,24,Finished Airing,"Apr 17, 2004",A.C.G.T.,Manga,PG-13 - Teens 13 or older,8.16,"Feb 18, 2006",2004,Spring
Monster,19,74,Finished Airing,"Apr 7, 2004",Madhouse,Manga,R+ - Mild Nudity,8.74,"Sep 28, 2005",2004,Spring
Naruto,20,220,Finished Airing,"Oct 3, 2002",Studio Pierrot,Manga,PG-13 - Teens 13 or older,7.89,"Feb 8, 2007",2002,Fall
One Piece,21,,Currently Airing,"Oct 20, 1999",Toei Animation,Manga,PG-13 - Teens 13 or older,8.49,"1999 to, ?",1999,Fall
Tennis no Ouji-sama (The Prince of Tennis),22,178,Finished Airing,"Oct 10, 2001",Trans Arts,Manga,PG-13 - Teens 13 or older,7.91,"Mar 23, 2005",2001,Fall
Ring ni Kakero 1,23,12,Finished Airing,"Oct 6, 2004",Toei Animation,Manga,PG - Children,6.38,"Dec 15, 2004",2004,Fall
School Rumble,24,26,Finished Airing,"Oct 5, 2004",Studio Comet,Manga,PG-13 - Teens 13 or older,7.95,"Mar 29, 2005",2004,Fall
Sunabouzu (Desert Punk),25,24,Finished Airing,"Oct 6, 2004",Gonzo,Manga,R - 17+ (violence & profanity),7.43,"Mar 30, 2005",2004,Fall
Texhnolyze,26,22,Finished Airing,"Apr 17, 2003",Madhouse,Original,R+ - Mild Nudity,7.76,"Sep 25, 2003",2003,Spring
Trinity Blood,27,24,Finished Airing,"Apr 29, 2005",Gonzo,Light novel,R - 17+ (violence & profanity),7.33,"Oct 28, 2005",2005,Spring
Yakitate!! Japan,28,69,Finished Airing,"Oct 12, 2004",Sunrise,Manga,PG-13 - Teens 13 or older,7.96,"Mar 14, 2006",2004,Fall
Zipang,29,26,Finished Airing,"Oct 8, 2004",Studio Deen,Manga,PG-13 - Teens 13 or older,7.52,"Apr 1, 2005",2004,Fall
Neon Genesis Evangelion,30,26,Finished Airing,"Oct 4, 1995",Tatsunoko Production,Original,PG-13 - Teens 13 or older,8.31,"Mar 27, 1996",1995,Fall
Neon Genesis Evangelion: Death & Rebirth,31,1,Finished Airing,"Mar 15, 1997",Production I.G,Original,R - 17+ (violence & profanity),7.45,,1997,Winter
Neon Genesis Evangelion: The End of Evangelion,32,1,Finished Airing,"Jul 19, 1997",Production I.G,Original,R+ - Mild Nudity,8.51,,1997,Summer
Kenpuu Denki Berserk (Berserk),33,25,Finished Airing,"Oct 8, 1997",OLM,Manga,R+ - Mild Nudity,8.48,"Apr 1, 1998",1997,Fall
Koukaku Kidoutai (Ghost in the Shell),43,1,Finished Airing,"Nov 18, 1995",Production I.G,Manga,R+ - Mild Nudity,8.3,,1995,Fall
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,44,4,Finished Airing,"Feb 20, 1999",Studio Deen,Manga,R - 17+ (violence & profanity),8.73,"Sep 22, 1999",1999,Winter
Rurouni Kenshin: Meiji Kenkaku Romantan (Rurouni Kenshin),45,94,Finished Airing,"Jan 10, 1996",Studio Deen,Manga,PG-13 - Teens 13 or older,8.32,"Sep 8, 1998",1996,Winter
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,46,1,Finished Airing,"Dec 20, 1997",Gallop,Manga,R - 17+ (violence & profanity),7.57,,1997,Fall
Akira,47,1,Finished Airing,"Jul 16, 1988",Tokyo Movie Shinsha,Manga,R+ - Mild Nudity,8.17,,1988,Summer
.hack//Sign,48,26,Finished Airing,"Apr 4, 2002",Bee Train,Original,PG-13 - Teens 13 or older,7.0,"Sep 26, 2002",2002,Spring
Aa! Megami-sama! (Oh! My Goddess),49,5,Finished Airing,"Feb 21, 1993",AIC,Manga,PG-13 - Teens 13 or older,7.33,"May 17, 1994",1993,Winter
Aa! Megami-sama! (TV) (Ah! My Goddess),50,24,Finished Airing,"Jan 7, 2005",AIC,Manga,PG-13 - Teens 13 or older,7.36,"Jul 8, 2005",2005,Winter
Tenshi Kinryouku (Angel Sanctuary),51,3,Finished Airing,"May 25, 2000",Hal Film Maker,Manga,R+ - Mild Nudity,6.32,"Aug 25, 2000",2000,Spring
